,,,,,,,,,,,,,,,,,,,,,,,,
,収容EPG一覧（多摩）,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Tenant名,テナント名,VRF名,BD名(NW名),GW有無,Querier IP,"IGMP
Snooping","IPアドレス
（GW）",Associated L3out,EPG名(NW名),用途（サブネット名）,"システム名称
（英数字のみ、一意な値）",VLAN ID,"収容Leaf
（ホスト名）",収容ポート,Path Type,"PC/vPC
インターフェイスポリシー",VLAN Mode,接続先サーバ,,,QoS区分,Custom QoS,備考
,,,,,,,,,,,,,,,,,,,物理装置名,VM名 or 機能名,物理NIC名,,QoS Policy,
,,,,,,,,,,,,,,nwtm-i9318-zlfs4042,Eth1/14,Port,,Trunk(tag付き),,,,,,
,,,,,,,,,,,,,,,Eth1/15,Port,,Trunk(tag付き),,,,,,
,,,,bd-texadata_gyomu-6,有,無効,有効,11.15.130.161/27,"l3out-tinfdist
l3out-tinfasr01",epg-texadata_gyomu-6,Exadata X8_VM用業務セグメント#6,texadata_gyomu-6,1110,nwtm-i9318-zlfs4031,Eth1/14,Port,,Trunk(tag付き),,,,開発,custom-qos-test-pol,
,,,,,,,,,,,,,,,Eth1/15,Port,,Trunk(tag付き),,,,,,
,,,,,,,,,,,,,,nwtm-i9318-zlfs4042,Eth1/14,Port,,Trunk(tag付き),,,,,,
,,,,,,,,,,,,,,,Eth1/15,Port,,Trunk(tag付き),,,,,,
,,,,bd-texadata_gyomu-7,有,無効,有効,12.15.130.193/27,"l3out-tinfdist
l3out-tinfasr01",epg-texadata_gyomu-7,Exadata X8_VM用業務セグメント#7,texadata_gyomu-7,1911,nwtm-i9318-zlfs4031,Eth1/14,Port,,Trunk(tag付き),,,,開発,custom-qos-test-pol,
,,,,,,,,,,,,,,,Eth1/15,Port,,Trunk(tag付き),,,,,,
,,,,,,,,,,,,,,nwtm-i9318-zlfs4042,Eth1/14,Port,,Trunk(tag付き),,,,,,
,,,,,,,,,,,,,,,Eth1/15,Port,,Trunk(tag付き),,,,,,
,,,,bd-texadata_gyomu-8,有,無効,有効,12.15.130.225/27,"l3out-tinfdist
l3out-tinfasr01",epg-texadata_gyomu-8,Exadata X8_VM用業務セグメント#8,texadata_gyomu-8,1912,nwtm-i9318-zlfs4031,Eth1/14,Port,,Trunk(tag付き),,,,開発,custom-qos-test-pol,
,,,,,,,,,,,,,,,Eth1/15,Port,,Trunk(tag付き),,,,,,
,,,,,,,,,,,,,,nwtm-i9318-zlfs4042,Eth1/14,Port,,Trunk(tag付き),,,,,,
,,,,,,,,,,,,,,,Eth1/15,Port,,Trunk(tag付き),,,,,,
,tm-tope,本昇運用面,vrf-tope,bd-tmgmtLAN,有,無効,有効,11.18.8.1/22,l3out-topedist,epg-tmgmtLAN,VM6_管理LAN,tmgmtLAN,1400,nwtm-i9318-zlfc2011,Eth1/45,Port,,Trunk(tag付き),,,,開発,custom-qos-test-pol,本番昇格時に削除
,,,,,,,,,,,,,,nwtm-i9318-zlfc2022,Eth1/46,Port,,Trunk(tag付き),,,,,,
