,,,,,,,,,,,,,,,,
,コントラクト一覧（千葉）,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Tenant名,VRF名,コントラクト名,Subject,用途,通信方向,"送信元システム
（サブネット名等）","宛先システム
（サブネット名等）","送信元EPG
（Provided)","宛先EPG
（Consumed)",Filter,,,,,備考
,,,,,,,,,,,エントリ名,プロトコル,プロトコル,ステートフル,ポート,
,,,cont-uni-epg-tNMSTransferServer1,cont-subject,システム間,片方向のみ許可,NMS_引継ぎサーバ収容セグメント#1_千葉本,NMS_引継ぎサーバ収容セグメント#2_千葉本,epg-tNMSTransferServer1,epg-tNMSTransferServer2,,,,,,NMSテナント移設時(2019/3/16)に削除
,,,,,,,NMS_引継ぎサーバ収容セグメント#1_千葉本,NMS_運用千葉AD運用LAN1_千葉本,epg-tNMSTransferServer1,epg-tNMSOpeCHADOpeLan1,,,,,,NMSテナント移設時(2019/3/16)に削除
,,,,,,,NMS_引継ぎサーバ収容セグメント#1_千葉本,NMS_運用千葉AD監視LAN1_千葉本,epg-tNMSTransferServer1,epg-tNMSOpeCHADMonLan1,,,,,,NMSテナント移設時(2019/3/16)に削除
,,,,,,,NMS_引継ぎサーバ収容セグメント#1_千葉本,NMS_運用千葉NM運用LAN1_千葉本,epg-tNMSTransferServer1,epg-tNMSOpeCHNMOpeLan1,,,,,,NMSテナント移設時(2019/3/16)に削除
,,,,,,,NMS_引継ぎサーバ収容セグメント#1_千葉本,NMS_運用千葉NM監視LAN1_千葉本,epg-tNMSTransferServer1,epg-tNMSOpeCHNMMonLan1,,,,,,NMSテナント移設時(2019/3/16)に削除
,,,,,,,NMS_引継ぎサーバ収容セグメント#1_千葉本,NMS_運用千葉ポータル運用LAN1_千葉本,epg-tNMSTransferServer1,epg-tNMSOpeCHPortalOpeLan1,,,,,,NMSテナント移設時(2019/3/16)に削除
,,,,,,,NMS_引継ぎサーバ収容セグメント#1_千葉本,NMS_運用千葉ポータル監視LAN1_千葉本,epg-tNMSTransferServer1,epg-tNMSOpeCHPortalMonLan1,,,,,,NMSテナント移設時(2019/3/16)に削除
,,,cont-uni-epg-tNMSTransferServer2,cont-subject,システム間,片方向のみ許可,NMS_引継ぎサーバ収容セグメント#2_千葉本,NMS_引継ぎサーバ収容セグメント#1_千葉本,epg-tNMSTransferServer2,epg-tNMSTransferServer1,,,,,,NMSテナント移設時(2019/3/16)に削除
,,,,,,,NMS_引継ぎサーバ収容セグメント#2_千葉本,NMS_運用千葉AD運用LAN1_千葉本,epg-tNMSTransferServer2,epg-tNMSOpeCHADOpeLan1,,,,,,NMSテナント移設時(2019/3/16)に削除
,,,,,,,NMS_引継ぎサーバ収容セグメント#2_千葉本,NMS_運用千葉AD監視LAN1_千葉本,epg-tNMSTransferServer2,epg-tNMSOpeCHADMonLan1,,,,,,NMSテナント移設時(2019/3/16)に削除
,,,,,,,NMS_引継ぎサーバ収容セグメント#2_千葉本,NMS_運用千葉NM運用LAN1_千葉本,epg-tNMSTransferServer2,epg-tNMSOpeCHNMOpeLan1,,,,,,NMSテナント移設時(2019/3/16)に削除
,,,,,,,NMS_引継ぎサーバ収容セグメント#2_千葉本,NMS_運用千葉NM監視LAN1_千葉本,epg-tNMSTransferServer2,epg-tNMSOpeCHNMMonLan1,,,,,,NMSテナント移設時(2019/3/16)に削除
,,,,,,,NMS_引継ぎサーバ収容セグメント#2_千葉本,NMS_運用千葉ポータル運用LAN1_千葉本,epg-tNMSTransferServer2,epg-tNMSOpeCHPortalOpeLan1,,,,,,NMSテナント移設時(2019/3/16)に削除
,,,,,,,NMS_引継ぎサーバ収容セグメント#2_千葉本,NMS_運用千葉ポータル監視LAN1_千葉本,epg-tNMSTransferServer2,epg-tNMSOpeCHPortalMonLan1,,,,,,NMSテナント移設時(2019/3/16)に削除
,,,cont-uni-epg-tNMSOpeCHNMMonLan1,cont-subject,システム間,片方向のみ許可,NMS_運用千葉NM監視LAN1_千葉本,NMS_引継ぎサーバ収容セグメント#1_千葉本,epg-tNMSOpeCHNMMonLan1,epg-tNMSTransferServer1,,,,,,NMSテナント移設時(2019/3/16)に削除
,,,,,,,NMS_運用千葉NM監視LAN1_千葉本,NMS_引継ぎサーバ収容セグメント#2_千葉本,epg-tNMSOpeCHNMMonLan1,epg-tNMSTransferServer2,,,,,,NMSテナント移設時(2019/3/16)に削除
,,,cont-uni-epg-tNMSOpeCHADMonLan1,cont-subject,システム間,片方向のみ許可,NMS_運用千葉AD監視LAN1_千葉本,NMS_引継ぎサーバ収容セグメント#1_千葉本,epg-tNMSOpeCHADMonLan1,epg-tNMSTransferServer1,,,,,,NMSテナント移設時(2019/3/16)に削除
,,,,,,,NMS_運用千葉AD監視LAN1_千葉本,NMS_引継ぎサーバ収容セグメント#2_千葉本,epg-tNMSOpeCHADMonLan1,epg-tNMSTransferServer2,,,,,,NMSテナント移設時(2019/3/16)に削除
,,,cont-uni-epg-tNMSOpeCHPortalMonLan1,cont-subject,システム間,片方向のみ許可,NMS_運用千葉ポータル監視LAN1_千葉本,NMS_引継ぎサーバ収容セグメント#1_千葉本,epg-tNMSOpeCHPortalMonLan1,epg-tNMSTransferServer1,,,,,,NMSテナント移設時(2019/3/16)に削除
,,,,,,,NMS_運用千葉ポータル監視LAN1_千葉本,NMS_引継ぎサーバ収容セグメント#2_千葉本,epg-tNMSOpeCHPortalMonLan1,epg-tNMSTransferServer2,,,,,,NMSテナント移設時(2019/3/16)に削除
,,,cont-uni-epg-tNMSOpeCHNMOpeLan1,cont-subject,システム間,片方向のみ許可,NMS_運用千葉NM運用LAN1_千葉本,NMS_引継ぎサーバ収容セグメント#1_千葉本,epg-tNMSOpeCHNMOpeLan1,epg-tNMSTransferServer1,,,,,,NMSテナント移設時(2019/3/16)に削除
,,,,,,,NMS_運用千葉NM運用LAN1_千葉本,NMS_引継ぎサーバ収容セグメント#2_千葉本,epg-tNMSOpeCHNMOpeLan1,epg-tNMSTransferServer2,,,,,,NMSテナント移設時(2019/3/16)に削除
,,,cont-uni-epg-tNMSOpeCHADOpeLan1,cont-subject,システム間,片方向のみ許可,NMS_運用千葉AD運用LAN1_千葉本,NMS_引継ぎサーバ収容セグメント#1_千葉本,epg-tNMSOpeCHADOpeLan1,epg-tNMSTransferServer1,,,,,,NMSテナント移設時(2019/3/16)に削除
,,,,,,,NMS_運用千葉AD運用LAN1_千葉本,NMS_引継ぎサーバ収容セグメント#2_千葉本,epg-tNMSOpeCHADOpeLan1,epg-tNMSTransferServer2,,,,,,NMSテナント移設時(2019/3/16)に削除
,,,cont-uni-epg-tNMSOpeCHPortalOpeLan1,cont-subject,システム間,片方向のみ許可,NMS_運用千葉ポータル運用LAN1_千葉本,NMS_引継ぎサーバ収容セグメント#1_千葉本,epg-tNMSOpeCHPortalOpeLan1,epg-tNMSTransferServer1,,,,,,NMSテナント移設時(2019/3/16)に削除
,,,,,,,NMS_運用千葉ポータル運用LAN1_千葉本,NMS_引継ぎサーバ収容セグメント#2_千葉本,epg-tNMSOpeCHPortalOpeLan1,epg-tNMSTransferServer2,,,,,,NMSテナント移設時(2019/3/16)に削除
,,,cont-uni-epg-tNMS_NMkanshi,cont-subject,システム間,片方向のみ許可,NMS_運用千葉NM監視LAN1,NMS_引継ぎサーバ収容セグメント#1_千葉本,epg-tNMS_NMkanshi,epg-tNMS_NMunyo,,,,,,NMSテナント本番移行時(2019/8/25)に追加
,,,cont-uni-epg-tNMS_NMunyo,cont-subject,システム間,片方向のみ許可,NMS_運用千葉NM運用LAN1,NMS_引継ぎサーバ収容セグメント#1_千葉本,epg-tNMS_NMunyo,epg-tNMS_NMkanshi,,,,,,NMSテナント本番移行時(2019/8/25)に追加
,,,cont-uni-epg-tmgmt-ch-LAN3,cont-subject,システム間,片方向のみ許可,VM6_管理LAN#2（千葉）,VM6_vSAN,epg-tmgmt-ch-LAN3,epg-tvSAN3,,,,,,
,,,cont-uni-epg-tvSAN3,cont-subject,システム間,片方向のみ許可,VM6_vSAN,VM6_管理LAN#2（千葉）,epg-tvSAN3,epg-tmgmt-ch-LAN3,,,,,,
,,,cont-uni-epg-texadata_unyo-1,cont-subject,システム間,片方向のみ許可,Exadata5号機_災対運用セグメント#1,Exadata5号機_災対物理機器管理用セグメント,epg-texadata_unyo-1,epg-texadata_kanri,,,,,,
,,,cont-uni-epg-texadata_unyo-2,cont-subject,システム間,片方向のみ許可,Exadata5号機_災対運用セグメント#2,Exadata5号機_災対物理機器管理用セグメント,epg-texadata_unyo-2,epg-texadata_kanri,,,,,,
,,,cont-uni-epg-texadata_unyo-3,cont-subject,システム間,片方向のみ許可,Exadata5号機_災対運用セグメント#3,Exadata5号機_災対物理機器管理用セグメント,epg-texadata_unyo-3,epg-texadata_kanri,,,,,,
,,,cont-uni-epg-texadata_unyo-4,cont-subject,システム間,片方向のみ許可,Exadata5号機_災対運用セグメント#4,Exadata5号機_災対物理機器管理用セグメント,epg-texadata_unyo-4,epg-texadata_kanri,,,,,,
,,,cont-uni-epg-texadata_unyo_kaihatsu-1,cont-subject,システム間,片方向のみ許可,Exadata5号機_千葉開発運用セグメント#1,Exadata5号機_災対物理機器管理用セグメント,epg-texadata_unyo_kaihatsu-1,epg-texadata_kanri,,,,,,
,,,cont-uni-epg-texadata_unyo_kaihatsu-2,cont-subject,システム間,片方向のみ許可,Exadata5号機_千葉開発運用セグメント#2,Exadata5号機_災対物理機器管理用セグメント,epg-texadata_unyo_kaihatsu-2,epg-texadata_kanri,,,,,,
