,,,,,,,,,,,,,,,,,,,,
,コントラクト一覧（多摩）,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Tenant名,VRF名,コントラクト名,Subject,用途,通信方向,"送信元システム
（サブネット名等）","宛先システム
（サブネット名等）","送信元EPG
（Provided)","宛先EPG
（Consumed)",Filter,,,,,備考,,,,
,,,,,,,,,,,エントリ名,プロトコル,プロトコル,ステートフル,ポート,,,,,
,,,cont-uni-epg-tNMSNBkanshi,cont-subject,システム間,片方向のみ許可,運用多摩NB監視LAN1,運用多摩NB運用LAN1,epg-tNMSNBkanshi,epg-tNMSNBunyo,,,,,,本番昇格時に削除,,,,
,,,cont-uni-epg-tNMSNBunyo,cont-subject,システム間,片方向のみ許可,運用多摩NB運用LAN1,運用多摩NB監視LAN1,epg-tNMSNBunyo,epg-tNMSNBkanshi,,,,,,本番昇格時に削除,,,,
,,,cont-uni-epg-tNMSBigipVipS,cont-subject,システム間,片方向のみ許可,NMS_BIG-IP_VIPセグメント_多摩本,,epg-tNMSBigipVipS,,,,,,,NMSテナント移設時(2019/3/16)に削除,,,,
,,,cont-uni-epg-tNMSIseS,cont-subject,システム間,片方向のみ許可,NMS_ISE収容セグメント_多摩本,,epg-tNMSIseS,,,,,,,NMSテナント移設時(2019/3/16)に削除,,,,
,,,cont-uni-epg-tNMSTransferServer1,cont-subject,システム間,片方向のみ許可,NMS_引継ぎサーバ収容セグメント#1_多摩本,NMS_引継ぎサーバ収容セグメント#2_多摩本,epg-tNMSTransferServer1,epg-tNMSTransferServer2,,,,,,NMSテナント移設時(2019/3/16)に削除,,,,
,,,,,,,NMS_引継ぎサーバ収容セグメント#1_多摩本,NMS_運用多摩AD運用LAN1_多摩本,epg-tNMSTransferServer1,epg-tNMSOpeTMADOpeLan1,,,,,,NMSテナント移設時(2019/3/16)に削除,,,,
,,,,,,,NMS_引継ぎサーバ収容セグメント#1_多摩本,NMS_運用多摩AD監視LAN1_多摩本,epg-tNMSTransferServer1,epg-tNMSOpeTMADMonLan1,,,,,,NMSテナント移設時(2019/3/16)に削除,,,,
,,,,,,,NMS_引継ぎサーバ収容セグメント#1_多摩本,NMS_運用多摩NM運用LAN1_多摩本,epg-tNMSTransferServer1,epg-tNMSOpeTMNMOpeLan1,,,,,,NMSテナント移設時(2019/3/16)に削除,,,,
,,,,,,,NMS_引継ぎサーバ収容セグメント#1_多摩本,NMS_運用多摩NM監視LAN1_多摩本,epg-tNMSTransferServer1,epg-tNMSOpeTMNMMonLan1,,,,,,NMSテナント移設時(2019/3/16)に削除,,,,
,,,,,,,NMS_引継ぎサーバ収容セグメント#1_多摩本,NMS_運用多摩QM運用LAN1_多摩本,epg-tNMSTransferServer1,epg-tNMSOpeTMQMOpeLan1,,,,,,NMSテナント移設時(2019/3/16)に削除,,,,
,,,,,,,NMS_引継ぎサーバ収容セグメント#1_多摩本,NMS_運用多摩QM監視LAN1_多摩本,epg-tNMSTransferServer1,epg-tNMSOpeTMQMMonLan1,,,,,,NMSテナント移設時(2019/3/16)に削除,,,,
,,,,,,,NMS_引継ぎサーバ収容セグメント#1_多摩本,NMS_運用多摩ポータル運用LAN1_多摩本,epg-tNMSTransferServer1,epg-tNMSOpeTMportalOpeLan1,,,,,,NMSテナント移設時(2019/3/16)に削除,,,,
,,,,,,,NMS_引継ぎサーバ収容セグメント#1_多摩本,NMS_運用多摩ポータル監視LAN1_多摩本,epg-tNMSTransferServer1,epg-tNMSOpeTMportalMonLan1,,,,,,NMSテナント移設時(2019/3/16)に削除,,,,
,,,,,,,NMS_引継ぎサーバ収容セグメント#1_多摩本,NMS_中間サーバ収容セグメント#1_多摩開,epg-tNMSTransferServer1,epg-tNMSMiddleServer1,,,,,,NMSテナント移設時(2019/3/16)に削除,,,,
,,,,,,,NMS_引継ぎサーバ収容セグメント#1_多摩本,NMS_中間サーバ収容セグメント#2_多摩開,epg-tNMSTransferServer1,epg-tNMSMiddleServer2,,,,,,NMSテナント移設時(2019/3/16)に削除,,,,
,,,cont-uni-epg-tNMSTransferServer2,cont-subject,システム間,片方向のみ許可,NMS_引継ぎサーバ収容セグメント#2_多摩本,NMS_引継ぎサーバ収容セグメント#1_多摩本,epg-tNMSTransferServer2,epg-tNMSTransferServer1,,,,,,NMSテナント移設時(2019/3/16)に削除,,,,
,,,,,,,NMS_引継ぎサーバ収容セグメント#2_多摩本,NMS_運用多摩AD運用LAN1_多摩本,epg-tNMSTransferServer2,epg-tNMSOpeTMADOpeLan1,,,,,,NMSテナント移設時(2019/3/16)に削除,,,,
,,,,,,,NMS_引継ぎサーバ収容セグメント#2_多摩本,NMS_運用多摩AD監視LAN1_多摩本,epg-tNMSTransferServer2,epg-tNMSOpeTMADMonLan1,,,,,,NMSテナント移設時(2019/3/16)に削除,,,,
,,,,,,,NMS_引継ぎサーバ収容セグメント#2_多摩本,NMS_運用多摩NM運用LAN1_多摩本,epg-tNMSTransferServer2,epg-tNMSOpeTMNMOpeLan1,,,,,,NMSテナント移設時(2019/3/16)に削除,,,,
,,,,,,,NMS_引継ぎサーバ収容セグメント#2_多摩本,NMS_運用多摩NM監視LAN1_多摩本,epg-tNMSTransferServer2,epg-tNMSOpeTMNMMonLan1,,,,,,NMSテナント移設時(2019/3/16)に削除,,,,
,,,,,,,NMS_引継ぎサーバ収容セグメント#2_多摩本,NMS_運用多摩QM運用LAN1_多摩本,epg-tNMSTransferServer2,epg-tNMSOpeTMQMOpeLan1,,,,,,NMSテナント移設時(2019/3/16)に削除,,,,
